Event ID,Event Name,Start Date/Time,End Date/Time,Event Agency,Event Type,Event Borough,Event Location,Event Street Side,Street Closure Type,Community Board,Police Precinct
740586,Lawn Closure - Greywacke Lawn,02/04/2024 12:01:00 AM,02/04/2024 01:00:00 AM,Parks Department,Special Event,Manhattan,Central Park: Graywacke Arch Lawn,,N/A,"64,","22,"
753420,"Vigil April 6, - Annunciation feast",04/06/2024 07:00:00 PM,04/06/2024 10:30:00 PM,Parks Department,Special Event,Queens,Flushing Meadows Corona Park: Vatican Pavillion,,N/A,"81,","110,"
744962,Soccer -Regulation,02/04/2024 10:00:00 AM,02/04/2024 06:00:00 PM,Parks Department,Sport - Youth,Bronx,"Van Cortlandt Park: Stadium-Soccer-08 ,Macombs Dam Park: Soccer-01",,N/A,"04, 26,","44, 50,"
745748,Soccer - Non Regulation,02/04/2024 08:00:00 AM,02/04/2024 08:00:00 PM,Parks Department,Sport - Youth,Bronx,Parque De Los Ninos: Parque De Los Ninos-Soccer-01,,N/A,"9,","43,"
749611,Soccer - Non Regulation,02/03/2024 01:00:00 PM,02/03/2024 04:00:00 PM,Parks Department,Sport - Youth,Brooklyn,Bush Terminal Park: Soccer-03,,N/A,"07,","72,"
751412,Soccer - Non Regulation,02/04/2024 08:00:00 AM,02/04/2024 09:00:00 AM,Parks Department,Sport - Adult,Queens,Flushing Meadows Corona Park: Soccer-07,,N/A,"81,","110,"
743189,Soccer - Non Regulation,02/03/2024 03:00:00 PM,02/03/2024 05:00:00 PM,Parks Department,Sport - Adult,Brooklyn,McCarren Park: Soccer-01,,N/A,"01,","94,"
679798,Landscape closed for season,02/04/2024 12:00:00 AM,02/04/2024 11:00:00 PM,Parks Department,Special Event,Manhattan,Central Park: Dana Discovery Center Lawn,,N/A,"64,","22,"
753795,Lag Baomer Field Trip,05/22/2024 09:30:00 AM,05/22/2024 01:00:00 PM,Parks Department,Special Event,Brooklyn,"Marine Park: Softball-01   ,Marine Park: Softball-02 ,Marine Park: Softball-03 ,Marine Park: Softball-04 ,Marine Park: Softball-05 ,Marine Park: Softball-06",,N/A,"18,","63,"
747911,Football - Youth,02/03/2024 11:00:00 AM,02/03/2024 02:00:00 PM,Parks Department,Sport - Youth,Manhattan,East River Park: Soccer-03 Houston St & FDR,,N/A,"03,","9,"
751862,Religious Event - SEPT 28,09/28/2024 02:30:00 PM,09/28/2024 06:00:00 PM,Parks Department,Special Event,Queens,Flushing Meadows Corona Park: Vatican Pavillion,,N/A,"81,","110,"
753087,Frisbee,01/20/2024 02:00:00 PM,01/20/2024 06:00:00 PM,Parks Department,Sport - Youth,Brooklyn,"Parade Ground: Soccer-08 ,Parade Ground: Soccer-07 ,Parade Ground: Football-09",,N/A,"14,","70,"
748442,Hockey,02/04/2024 09:00:00 AM,02/04/2024 09:30:00 PM,Parks Department,Sport - Youth,Queens,College Point Fields: Hockey-01,,N/A,"07,","109,"
741029,Soccer -Regulation,02/04/2024 08:00:00 AM,02/04/2024 10:00:00 AM,Parks Department,Sport - Adult,Staten Island,Freshkills Park: Owl Hollow-Soccer-4,,N/A,"03,","123,"
754097,Miscellaneous,05/23/2024 09:00:00 AM,05/23/2024 02:00:00 PM,Parks Department,Special Event,Queens,"Frank Principe Park / Maurice Park: Virginia Principe Playground-Softball-03   ,Frank Principe Park / Maurice Park: Frank Principe Park",,N/A,"05, 5,","104,"
741929,Soccer - Non Regulation,02/04/2024 09:00:00 AM,02/04/2024 10:00:00 AM,Parks Department,Sport - Adult,Queens,Kissena Corridor West: Soccer-01,,N/A,"07,","109,"
742919,Soccer -Regulation,02/04/2024 08:00:00 AM,02/04/2024 10:30:00 PM,Parks Department,Sport - Adult,Manhattan,"Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: Wards Meadow Fields-Soccer-75 ,Randall's Island Park: Wards Meadow Fields-Soccer-74 ,Randall's Island Park: Soccer-10 ,Randall's Island Park: Sunken Garden Fields-Soccer-91",,N/A,"11,","25,"
754683,Locals Surf School,02/04/2024 08:00:00 AM,02/04/2024 03:00:00 PM,Parks Department,Special Event,Queens,Rockaway Beach and Boardwalk: Beach 67th Street Surfing Beach,,N/A,"14,","100,"
740928,Soccer - Non Regulation,02/04/2024 08:00:00 AM,02/04/2024 04:00:00 PM,Parks Department,Sport - Youth,Brooklyn,West Playground: Soccer-01,,N/A,"13,","60,"
741262,Miscellaneous,06/05/2024 09:00:00 AM,06/05/2024 02:00:00 PM,Parks Department,Special Event,Queens,"Frank Principe Park / Maurice Park: Virginia Principe Playground-Softball-03 ,Frank Principe Park / Maurice Park: Frank Principe Park",,N/A,"05, 5,","104,"
751836,Soccer - Non Regulation,02/03/2024 12:00:00 PM,02/03/2024 02:00:00 PM,Parks Department,Sport - Youth,Brooklyn,Newtown Barge Playground: Soccer -02  ( 8 y/o and younger only),,N/A,"1,","94,"
753398,"Vigil Feb 1, 10 2024 - Presentation, Lourdes",02/01/2024 06:30:00 PM,02/01/2024 11:30:00 PM,Parks Department,Special Event,Queens,Flushing Meadows Corona Park: Vatican Pavillion,,N/A,"81,","110,"
739853,Picnic,06/02/2024 11:00:00 AM,06/02/2024 03:00:00 PM,Parks Department,Special Event,Manhattan,Central Park: Cedar Hill,,N/A,"64,","22,"
738427,Celebration,03/22/2024 03:00:00 PM,03/22/2024 05:00:00 PM,Parks Department,Special Event,Manhattan,Central Park: Cop Cot,,N/A,"64,","22,"
741860,Soccer - Non Regulation,02/04/2024 10:00:00 AM,02/04/2024 10:00:00 PM,Parks Department,Sport - Adult,Manhattan,"Randall's Island Park: Wards Meadow Fields-Soccer-72 ,Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: Sunken Garden Fields-Soccer-91",,N/A,"11,","25,"
740867,Soccer - Non Regulation,02/04/2024 10:00:00 AM,02/04/2024 04:00:00 PM,Parks Department,Sport - Adult,Manhattan,Chelsea Park: Soccer-01,,N/A,"04,","10,"
744629,Soccer - Non Regulation,02/03/2024 01:00:00 PM,02/03/2024 03:00:00 PM,Parks Department,Sport - Adult,Manhattan,James J Walker Park: Soccer-01,,N/A,"2,","6,"
754064,Celebration,02/24/2024 11:00:00 AM,02/24/2024 01:00:00 PM,Parks Department,Special Event,Brooklyn,James Forten Playground: Playground/Sitting Area,,N/A,"8,","77,"
750624,Soccer - Non Regulation,01/28/2024 03:00:00 PM,01/28/2024 05:30:00 PM,Parks Department,Sport - Adult,Brooklyn,"Parade Ground: Soccer-08A ,Parade Ground: Soccer-08B",,N/A,"14,","70,"
753072,Celebration,03/24/2024 11:00:00 AM,03/24/2024 12:00:00 PM,Parks Department,Special Event,Manhattan,Central Park: Ladies' Pavilion,,N/A,"64,","22,"
745408,Soccer - Non Regulation,02/04/2024 10:00:00 AM,02/04/2024 12:00:00 PM,Parks Department,Sport - Youth,Queens,Big Bush Park: Soccer-01,,N/A,"02,","108,"
739792,Lawn closure - East Green,02/04/2024 12:00:00 AM,02/04/2024 11:59:00 PM,Parks Department,Special Event,Manhattan,Central Park: East 72nd Street Playground Lawns,,N/A,"8,","19,"
746691,Football - Adults,02/04/2024 10:00:00 AM,02/04/2024 12:00:00 PM,Parks Department,Sport - Adult,Manhattan,Booker T. Washington Playground: Soccer-01,,N/A,"07,","24,"
751690,"Columbia Thursday, Sunday Greenmarket",02/04/2024 08:00:00 AM,02/04/2024 06:00:00 PM,Street Activity Permit Office,Farmers Market,Manhattan,BROADWAY between WEST  113 STREET and WEST  116 STREET,East,Sidewalk and Curb Lane Closure,"9,","26,"
744769,Soccer - Non Regulation,02/03/2024 12:00:00 PM,02/03/2024 05:00:00 PM,Parks Department,Sport - Adult,Brooklyn,"Parade Ground: Soccer-08A ,Parade Ground: Soccer-08B ,Parade Ground: Football-09 ,Parade Ground: Football-09A ,Parade Ground: Football-09B",,N/A,"14,","70,"
741650,Soccer - Non Regulation,02/03/2024 02:00:00 PM,02/03/2024 10:00:00 PM,Parks Department,Sport - Adult,Manhattan,"Harlem River Park: Football/Soccer-01 ,Highbridge Park: Soccer-01 ,Wagner Playground: Soccer-01 ,Sara D. Roosevelt Park: Canal Street Mini Field-Soccer-01",,N/A,"03, 11, 12,","25, 33, 5,"
755386,Miscellaneous,05/20/2024 10:00:00 AM,05/20/2024 02:00:00 PM,Parks Department,Special Event,Brooklyn,"Marine Park: Softball-01 ,Marine Park: Softball-02 ,Marine Park: Softball-03",,N/A,"18,","63,"
